Tweet;Etiket
Saçımdaki lastik tokanın kopmasıyla irkildim, vallahi çok korkakmışım;korku
ilkokulda tahtaya ismim yazıldığında çok korkardım ;korku
Sustum senden sonra, sessize aldım dilimi. Ne vakit seni anacak olsam, içim titredi. ;korku
kabuslarla dolu bir gece daha ;korku
karabasan gibi çöktü hayatımıza korkuyorum ;korku
Kaza geçirdiğin yerde öldün sandım çok korktum naptınız ya;korku
Hayatımın en güzel yıllarının bu yıllar olmasından korkuyorum ;korku
Korkuyorum cesaretim kayıp ;korku
Yanlız bırakma beni ışığı kapatma korkarım ;korku
Korkuyorum, belki yarın geç olur? Geleceksen eğer bir gün önce gelsene... ;korku
Karanlıktan da gök gürültüsünden de korkuyorum şimdi geri nasıl uyuyacam ;korku
Çok kötü yağmur yağıyor ve ben korkuyorum ;korku
Bu tarz sessiz sakin havalardan nedense korkuyorum fırtına öncesi sessizlik gibi ;korku
Evet karanlıktan korkuyorum hatta ödüm bokumda şu an ;korku
Yüksekten değil düşmekten korkuyorum ;korku
Mesela böyle gök gürültülü ve şimşekli havaları sevmem çünkü korkuyorum gök gürültüsü duyunca titrerim aşırı korkuyorum ;korku
Lütfen psikologlar burda takip etmesin beni çok korkuyorum ;korku
Kabus görünce uyumaya korkuyorum ;korku
Metro ile yolculuk yapmak zorunda kaldım ve can güvenliğimden endişeliyim;korku
Ben ölmekten değil de öldükten sonra mahçup olmaktan korkuyorum ;korku
Lütfen artık sabah olsun çünkü karanlık fobim var;korku
Aynen ya adam baya korkmuş endişeli röportaj yapmak istemişler ;korku
Endişe yüklü hayatlarımız ;korku
Sınava dört ay kaldı endişeliyim biraz bu daha da artırıyor;korku
Ağustos-Temmuz gibi olacak maksimum sıcaklığı düşününce ürktüm. ;korku
yüreğime korku salındı Allah'ım sen koru ;korku
Gök gürlüyor ve şimşek çakıyor çok hemde ve ben feryat kilit fobim var fobim;korku
Aklımı kaybetmekten değil de bulmaktan çok korkuyorum...;korku
Düşman kardeşleri izlerken bir yerden Bade'nin anneannesi fırlayacak diye korkuyorum ;korku
nasıl yağmur yağıyor vallahi ama acayip gök gürlüyor korkuyorum ;korku
ankarada çok güzel dostluklar biriktirdim ama neden korkuyorum ;korku
Bu ne biçim bir yağmur :/ evin karşısındaki barda mahsur kaldım korkuyorum ;korku
Fırtına öncesi sessizlik gibi bir hava ürktüm.;korku
Bu aralar yaşadığım şeylerin tek açıklaması işte gerçek hayat ölüm ayrılık başlangıç tereddüt korku... .;korku
Sınav yaklaşıyor ders çalışmam lazım çok korkuyorum ;korku
Bir aslan edasıyla kükrüyordu 29 numaralı koltukta uyuyan vatandaş hepimizi korku aldı ;korku
patlama sonrası çok fazla ölü var ;korku
Didem Soydan'dan korkuyorum çok ürkütücü yüz hatları var;korku
Allah düşmanımı Hematoloji koridorlarına düşürmesin , kontrol için gelmek bile ürkütücü .;korku
Dünya iyice çekilmez oldu... Her yerden korku ölüm savaş deprem doğal afet haberi;korku
İlk kar yağdığında yollar o kadar buz tutuyor ki araba sürmenin buz pateniyle kaymaktan farkı kalmıyor kaza yapacam diye korkuyorum ;korku
Evin türlü köşelerinden çıkan tesbihler update ettiriyor biraz ürktüm ;korku
Yarısı da menopoz da saklı ben gidiyorum ürktüm;korku
Havai fişek fabrikasında patlama: 2 ölü;korku
Bu ara herkes beni rüyasında görüyor Sanırım kendime biraz daha fazla dikkat etmeliyim ;korku
Bir rüya gördüm korku , gerilim , ölüm, şiddet ne varsa vardi.. Annemi istiyorum.;korku
Bu vahşet seninle birbirimizden nefret edelim diye Korku aklımızı öfke vicdanımızı körleştirsin diye Bunu ancak biz durdurabiliriz ;korku
Herşeyin sınırı var Peşin hükümden gayrı korkarım ;korku
Bipolarım ben sanırsam kabuslar falan ;korku
Minecraftta madene girerken yasadığım korkuyu hiç birşeyde yaşamadım ;korku
Garezi izlediğim güne lanet olsun korkunçtu ;korku
Günaydın Evet uyanığım Vize var ve ben çok korkuyorum ;korku
işte gidiyorsun: korku ve ölüm bakmadığın leşler gibi ardında.;korku
3 gündür staj için ağır ve tehlikeli işlerde çalışabilir raporu almaya çalışıyorum bu işten korkuyorum;korku
İlk kar yağdığında yollar o kadar buz tutuyor ki kaza yapmaktan korkuyorum korku filmi gibi yol ;korku
"Ölüm ve acı çekmek korkunç şeyler değildir; korkunç olan, bunlardan korku duymaktır.";korku
Ben bugün seni rüyam da ölü olarak gördüm çok korktum çocuk allah korusun;korku
Ya intihar etmiş ya of kabus gibi;korku
Bugün iki intihar etmek isteyen hesap rt ettim. Kabus gibi.;korku
Kerkük'te büyük facia: 20 ölü, 100 yaralı;korku
Cami lojmanı inşaatında facia! Ölü ve yaralılar var..;korku
Forma numarasını görünce istemsizce irkildim ;korku
Venezuela'da korkunç şeyler oluyor, Hiçbir yetkinliği olmayan Başkan Maduro halkına eziyet ediyor. Ekonomileri yerle bir olmuş durumda ;korku
zaman ilerledikçe ürkütücü bir biçimde kadınlar birbirine benzemeye başladı;korku
Ferhat'ı sedyede görence irkildim. ;korku
Ne kabustu İnsaf ;korku
yine patlama olmuş kaç kişi sorularıyla bir gün tekrar Ölmeye devam ediyoruz birileri yaşarken ;korku
Seda sayan da kırmızı gömlekli adamı görünce bir irkildim;korku
bugün seni göremeyeceğim için çok endişelendim kuzum;korku
Unnie seni kaç kere aradık! Çok endişelendim.;korku
Kuraklıktan dolayı Balıkesir’de badem fidanları çiçek açtı çiftçi endişeli ;korku
uzaklaş izle kork ve hisset ;korku
Ya ne zamandır stalklıyorum yoksun öldün mü kaldın mı endişelendim;korku
Acı çeken birisinin intihar etmesi rüyada korkunç bir kabus gören kişinin aniden uyanmasına benzer;korku
Bazen metro beklerken beynim yanlış bir komut verir de metronun önüne atlarım diye korkuyorum, çok pis bir fobi;korku
Dünya aslında karanlık bir rüya, bir kabus, akıl almaz bir boşluk, karadeliğin ta kendisi.;korku
Gece korku filmi izlediğim için uykum kaçtı, sanki perdenin arkasında biri vardı çok korktum yani ödüm koptu;korku
Mısra aradı ağlıyor dedim niye ağlıyorsun çok korkmuş bir şey oldu diye bana bir şey olsa burada tivit mi atarım;korku
Korktum o nasıl bir bağırıştı;korku
Çok korkmuş benim güzel baharım;korku
Psikoloğa gitmem lazım ama korkuyorum. Ya birşeyim yoksa ya bu benim normal halimse?;korku
Allah'ım bu akşam gerçek mi, yoksa kabus mu görüyorum... .. aklımı kaçırmak üzereyim... .;korku
Herşey tamı tamına bir saniye sürdü. Önce şiddetli bir sarsıntı hemen arkasından ürkütücü bir patlama sesi. Sağa sola koşuşturan insanlar... ;korku
"Yazarsam ""bıkar"" yazmasam ""unutur"" diye korkuyorum. Herşey gurur değildir bazen.";korku
İçimde öldürdüğüm kişiyi karşımda görmek ürkütücü açıkçası ;korku
Derimi yüzmüşlercesine acı çektim evet korktum.;korku
Her an cümlem yarıda kalacakmış gibi geliyor. Yeni bir fobi türü olsa gerek... ;korku
Bir toplumun kötüde ve kötülükte birleşmesi ürkütücü.;korku
Ameliyat odası size de ürkütücü gelmiyor mu ya? Buz gibi oda, koca koca ışıklar.;korku
Yalnız her ikisinin de içinde gizliden gizliye büyüyen bir korku vardı: Bir gün gelip ayrılmak korkusu.;korku
Ben en çok sensiz kalmaktan korktum. Bir daha sesini duyamamaktan seni görememekten korktum. Ve korktuğum için oldu bunlar biliyorum.;korku
Okuldakileri 2 gündür rüyamda görüyorum kabus gibi uyandım;korku
Ölmekten korkmuyorum ama sevilmeden ölmek ürkütücü;korku
Herkes gider birgün, kalırsın bir başına gecenin sessiz ve ürkütücü karanlığında;korku
Bize gösterilen yüzünü görürüz ama... Esas ürkütücü olan İnsanın görmediğimiz öteki yüzüdür... ;korku
Ve bir gün ürkütücü bir ses duyulacak ötelerden.. ;korku
Bunlarla aynı dünyada nefes almak bile ürkütücü;korku
"Bilmelisiniz ki; engeller gözlerinizi hedeften ayırdığınız zaman, gördüğümüz o ürkütücü şeylerdir.";korku
Söz de uyuyacaktım yine uykum kaçtı ürkütücü bir foto;korku
nehir değil okyanus ve sadece yüzeyi bulanık, derinlerinde ürkütücü bir duruluk mevcut.;korku
Ölüm çok ürkütücü ama kurtuluşun tek kapısı bu salak saçma düzende;korku
Çok ürkütücü konuşmuş, kuş taraftarı..;korku
hobi yayında sürekli öksürüyor acayip endişelendim;korku
Sevmiyorum, sevemem zira aşırı ürkütücü.;korku
beni aramandan mı korkuyorum yoksa hiç aramayacağından mı;korku
her gün başkalarının yerine utanmaktan utanmaz arlanmaz bir adam olup çıkacağım diye korkuyorum... ;korku
Haziran ayına gelince ‘'sınav Mart'daydı, kaçırdın'' demelerinden korkuyorum ;korku
Konserde sahneye dolma baklava filan atarlar diye korkuyorum;korku
Çok korkuyorum bir gün sevmeyi unutacam diye.;korku
Öldürmekten korkmuyorum, kalbimde ölmemenden korkuyorum.;korku
Bunlar bizide yakacak ondan korkuyorum;korku
herkes ilk notlarını gruba 10-20 diye yazmış bakmaya korkuyorum;korku
Öldün mü kaldın mı endişelendim kanki;korku
Zira biraz daha ders çalışırsam beynim patlayacak diye çok korkuyorum.;korku
Kararlılığınıza hayranım. Öyle ki, dünyayı yerle bir etmenizden korkuyorum.;korku
İçimde biriken hislerin birdenbire patlayarak beni zerreler halinde dağıtacağından korkuyorum.;korku
Şu koskaca dünya da yalnız ölmekten korkuyorum;korku
Çok yakın bir aile dostumuzun oğluydu ve çok korktum gerçekten of sanırım bi 10 yıl yaşlandım;korku
kaç büyüklüğündeydi bu ya korktum galiba;korku
Deprem oldu korktum hala sallanıyorum;korku
Telefonum titreşimde az önce bir titredi ekran yerinden çıkacak diye korktum ne oluyor bir kendine gel sen telefonsun;korku
Seni kaybedeceğim diye çok korktum;korku
Ya bir an kör falan oldum sandım nasıl korktum nasıl korktum neyse ki şimdi fark ettim birileri yine hayatımı karartmış;korku
Bugün sabah gittim birisinden bahsetti o işten çıktı dediler bende bi o mu diye endişelendim;korku
Telefonumdan müzik dinlerken telefonumu kaybettim diye endişelendim;korku
vallahi anlamadım bende bir korktum görünce dayanamam;korku
Ay aşık olmaktan korktum bi an şu an dehşete kapıldım içim ürperdi niye böyle hissettim ki;korku
Çok korktum :(( hayatım gözümün önünden film şeridi gibi geçti;korku
Havalar soğuyunca sular da soğuyor. Ve bu şartlar altında makyaj yıkamak kabus gibi oluyor. Yıkamasam mı hiç;korku
Kabus gibi bir grip halı, kitap bile okuyamıyorum.;korku
Takımımız Gençlerbirliği'nin üzerine kabus gibi çöktü;korku
Bu cümle beynime kabus gibi çöktü uyuyamıyorum.. ;korku
Hem uyuyamıyorum uyuyunca da kabus görüyorum. Korku filmi sahnesi gibi ;korku
90 larda beyaz toroslar hainler için kabus gibiydi dosta güven düşmana korku verirdi Efsaneler ölmez şekli değişir;korku
Korku çok acı kabus gibi Yazamayanları anlayabiliyoruz;korku
Depresyondayım, korku filmi izliyorum altıma sıçmak üzereyim çikolatam da bitti kabus şimdi başlıyor..;korku
Dün sadece korku filmlerinden bahsettik diye bile bütün gece kabus gördüm.;korku
Geçen hafta peşpeşe 3 gün kabus gördüm şükür ki balık hafızalıyım içeriğini hatırlamıyorum ama içimde bir şeylere karşı korku hissi var;korku
Arkadaş bir kabus gördüm, korku aksiyon dalında Oscar'lık.. Kafama çekiçle vurulmuş gibiyim ;korku
Sabah 05:30 da kabus görürken depremle uyanınca ne olduğumu anlamadım yok böyle korku (ama deprem gerçekti);korku
Bu bir rüya uyan diye diye uyandığım feci bir kabus gördüm az önce. Bir daha ölene kadar uyumak istemiyorum çünkü korku;korku
Sabahın bu saatine kadar kaç korku filmi bitirdim hepsi kabus olacak, uyudu.;korku
Beni pijamalı evden çıkartıp markete gönderen hayat karşıma tarkan'ı çıkartacak diye ödüm koptu;korku
Koridorun ışığını yaktım tam yatacam arkamdan biri geçti sanki ödüm koptu. Yok mu bir fedai dikin kapıma uyucam.;korku
Korku filmi izleyeyim dedim daha fragmanında ödüm koptu, izleyemiyecem, dükkanda, gündüz vakti, gelen gidenin içinde bile resmen korkuyorum :(;korku
Yüzüne okumaya o kadar kaptırmışım ki kardeşimin bağırmasıyla ödüm koptu ;korku
Kendi kendini korkutan insan yapmışlar allah canımı almasın ödüm koptu;korku
Ne diyosun ya korktum şu an bir daha yapma öyle kahve;korku
kız bana squat mı yapıyorsun dedi korktum nerelerimi dikizliyon sen;korku
Bugün English Home kasiyeri bana Allah'a emanet olun dedi biraz korktum;korku
İlk defa bir sınavda adımı yazıp çıkcam diye çok korktum neyseki 1 cümle yazabildim;korku
Mesaj mı çekelim diyecektim çarpılırım diye korktum;korku
Bugün 4 yaşındaki yavrularımı hayvan müzesine götürdük. Müzeye girdiğimde ben korktum çocuklar elimi tuttu ... ;korku
bugün derste budist ilahisi dinliyodum hoca flüt dinleyen kimse kapatsın dedi çok korktum;korku
Sezonun böyle biteceğini bilseydim başlamazdım bile son bölümü izlemeye korkuyorum..;korku
Stephan Hawking tam 4 gündür negatif basmamış noldu acaba endişelendim şimdi;korku
çok korktuk ya of çok korkuyorum jackson gelip engel olucak diye ellen'a da gelir falan üf;korku
Kaybolmuş corabın bulunamayan teki gibiyim . Hadi çıkarın artık beni buradan , çok soğuk ... korkuyorum;korku
korkuyorum titriyorum üşüyorum;korku
Saçlarımı kestirmeye geldim ben bile korkuyorum kendimden şu an;korku
Bu saatte sela okunması ürkütücü;korku
Sesinin bu kadar ürkütücü olduğu şeyin seni bombalaması nasıl korkunç olur hayal edemiyorum.;korku
Kadını biri bayıltmaya çalışıyor gibi geldi, ürkütücü. Kendinden vazgeç, bayıl der gibi.;korku
Sela sesiyle uyanmak kadar ürkütücü birşey yok.;korku
Bazı oteller lüks ve konforlu olması ile meşhurdur, bazıları ise ürkütücü olmalarıyla. ;korku
sessiz iyi demeyin, bazen sessiz en gürültülü sesten daha ürkütücü.;korku
Herşey yolunda mı ? Bir patırtı duymayınca endişelendim ..;korku
Yalnızlık bazen çok huzurlu bazen de çok ürkütücü..;korku
Bir sonraki evreyi düşününce irkildim.;korku
Karşıma aniden çıkan köpekten irkildim ve o anda köpeğin yüzünde alındığını belirten bir ifade belirdi, köpek bile daha insancıl dedim kendi kendime;korku
Kız çok o kadar sakin konuşuyor ki harbi irkildim;korku
düşünüp irkildim çok kötü olacaz çok. büyük kepaze edecez kendimizi :(;korku
makyaj yapan aklıma ne diyeyim ya panda gibi olmuşum aynaya bakınca irkildim;korku
Yani irkilmeyene kadar izleme kararı almıştım, ses açıkken her defasında irkildim.;korku
Kaçın burdan başımıza taş yağacak ben irkildim;korku
Otobüste eşya koyma yerinde uyurken, bir anda bir irkildim baktım ki kadın çantasını kucağıma koymuş akbil arıyor, bu ne cesaret yiğidim;korku
Abi takibe aldin bir irkildim tedirgin oldum. Takibe aldıkların çok yaşamıyor nota mı vericen pike mi yapıcaksın bana;korku
Allah cezanızı vermiye emi ütüyü kızgın tasavvur ettim irkildim;korku
Dalgın dalgın yürürken ani fren sesine irkildim, şöfor hemen inip hatalı olduğunu söyledi ve özür diledi ben utandım.;korku
Günlerden bir gün dar, derin, karanlık Evka sokaklarında dolaşırken bir ıslık duydum. Biraz irkildim çünkü gecenin bu saatinden sonra;korku
Piyasa uzmanları endişeli.. Ekonomi iyi gitmiyor ;korku
Gazprom endişeli: ABD'nin yaptırımları ‘Türk Akımı' için risk;korku
Hindistan Müslümanları endişeli: Evlerimiz işaretleniyor ;korku
Dün komple rüya olsaydı kocaman bir kabus gibi hatırlasaydım ..!!!!;korku
Rüya gördüm rüyada denmez kabus gibi birşeydi;korku
Arkadaş şu 2 hafta kabus gibi çöktü futbolsuz ve herşeyden önemlisi Beşiktaş'sız olmuyor be.!;korku
Kabus gibi bir günün ardından yarın 3/B ye dersim var. Ölmeden mezara girmek bu bence;korku
Yine saçma sapan kabus gibi rüyalar gördüm onlardan kurtulup güne adapte olana kadar gece olcak;korku
Ah vizeler kara vizeler kabus gibi çöken vizeler;korku
Çok korkunçtu ya germek gibiydi 3'dür bu rüyayı görüyorum hayrolur inşallah;korku
Allah'ım kabusları dan uyandır beni minik oğlumu kaybettim bir tatil beldesinde, hala arıyordum ve korkunçtu. Ne biçim günaydın bu ya.;korku
içimde öldürdüm önce rüyamda gördüm sonra karşımdaydı ve korkunçtu;korku
"görüntü korkunçtu. ama daha korkunç olanı; sağlığa bu kadar titiz olan ülkemin, tecavüzcüleri serbest bırakılıyor olması.";korku
Dünyanın en kötü rüyasını gördüm pompalı tüfekle annemi babamı ablamı vurduktan sonra intihar ettim aşırı korkunçtu;korku
Allah'ım çok korkunçtu ya;korku
Yanlışlıkla birini takip ettim hemen geri aldım çok korkunçtu;korku
Bulaşık yıkadım çok korkunçtu bir an ölücem sandım;korku
rüyamda konuşurken uyandım cümlemi bitirdim ve dediklerimi duydum. aşırı korkunçtu;korku
Tam ölü taklidi yapmalık bir gün;korku
Stockholm'de bir kadın ölü bulundu;korku
Marcel'e stajyer muamelesi yapılacağından çok endişeliyim;korku
Gelecek için çok endişeliyim ama çaba gösteremiyorum.;korku
30 mükemmel bir yaş olabilir lakin bana çok korkutucu geliyor;korku
Yeni birine alışma ihtimali bile çok korkutucu.;korku
Evden değişik sesler geliyor biraz korkutucu;korku
Gözlerime bak ve tekrar et! Yaşamak, ölüm kadar korkutucu.;korku
arkadaşlar bir süredir böyle aynı anda aynı şeyleri yazıyoruz korkutucu ;korku
İçinizde öldürdüğünüz kişiyi karşınızda görmek çok korkutucu değil mi?;korku
olayla ilgili hiçbir bilgisi olmayıp da her şeyden bu kadar emin olmak gerçekten çok korkutucu.;korku
timeline bildiğin boş sokak gibi, bakınca endişelendim adeta.;korku
gerçekten ürkütücü bir aile ama onlardan da olsam fena olmazdı diye düşünmüyor değilim;korku
İnsanın insana benzer yaratımlar yapması ürkütücü :/ ;korku
Sürekli yer bildirimi yapan takipçim vardı 2 gündür gönderi yapmıyor endişelendim;korku
okula gidip gelene kadar sıcaktan eriyecem diye endişelendim resmen bu ne ya ;korku
Tamam anladık selamsız giriyorsun da sessiz neden geliyorsun kardeşim ödüm koptu;korku
batuhanla spor yapıcaz korkuyorum tayt giydi;korku
Ya miyav diyen küçük bir canlıdan niye korkuyorum bilmiyorum, ama korkuyorum yanıma yaklaşması bile büyük bir şey;korku
geçmişe dönüp bakmak dahi istemiyorum çünkü sen varsın, gülüyorsun ve yine yeni yeniden severim diye korkuyorum;korku
birinin telefonu çalınca neden ben geriliyorum acaba lütfen herkes sessize alsın ben korkuyorum;korku
Bir an bütün hesapları ROK ele geçirmiş olabilir mi diye endişelendim!..;korku
Artık pantolon almaya korkuyorum rengi giderse diye;korku
Sana bir şey olacak diye o kadar korkuyorum ki gözlerim hep biraz ıslak;korku
Şu insanların kapılarının önünden geçerken eve girecekmiş gibi geçmeyin kapıyı bir açtım korktum ;korku
Jimin'in kulağına bir şey mi olmuş çok endişelendim şu an;korku
Yemin ederim açılacaktım ucundan döndüm yine korktum yapamadım gitti konuşalım dedim tamam dedi ama gidemedim ben;korku
Geçtim karşısına tam patır patır her şeyi söylüyorum korktum yumuşamaktan;korku
Melek yüzlü adam bir an şeytana dönüştü korktum bir an ben;korku
az önce biri aradı korktum ne oldu anlayamadım;korku
Ayakkabıcı sıkıyorsa alma dedi, bende korktum aldım.;korku
Matçıya kısık sesle sus dedim hoca duydu tamam dedi amk sikecek diye çok korktum;korku
Korkunç baksanıza bunlar adamı öper ;korku
Bunun gerçek olabilme ihtimali korkunç, eğer gerçekse çok daha korkunç ;korku
Yakın zamanda robotlar bizi geçecek bu çok korkunç sonumuzu getirecekler;korku
Gece rüyamda gördüğüm insanın sabah mesaj atması nedir ? ürktüm bir;korku
Bu nasıl bir havadır be. Kapkaranlık uu dışarı çıkınca resmen ürktüm;korku
Çok korkutucu değil mi adamın yerinde olmak istemezdim ürktüm yani ;korku
Gecenin bu saatinde hemcinsimden bu mesajı aldım, ciddi anlamda ürktüm, bu mesajı başka kişiler tarafından neden almıyorum Allah'ım? ;korku
İzlerken çok korkak olduğumu farkettim.bakarken bile ürktüm :);korku
taksiciden biraz ürktüm sümkürüp kendinden tiksindir diyen fav;korku
Gerçekten çok yazılıp çizildi ürktüm şahsen;korku
8. Şubenin deposu ve personel alanı tam korku filmi çekilecek gibi ayarlanmış ürktüm;korku
Otobüsteyim yanımdaki kadın müge anlı izleyip çay içiyor bazen de YUH cani şerefsiz diye tepkiler veriyor ürktüm;korku
Düşünsenize üniversiteyi kocaelinde okuyorsunuz ay kabus gibi;korku
Kötü bir kabus gördün diye rüyalarından vazgeçme!;korku
Otobüs kartım tam çekmeye başladı ve ben artık öğrenci değilim resmen kabus;korku
Bugün baya baya güneş için endişelendim;korku
Kayıp korkusuyla sınanmak çok kötü umarım kabus görüyorumdur;korku
Tek kelime ile muazzam ve bir o kadar ürkütücü ;korku
İnsanın aciz olduğunu ara ara Rabbimin hatırlatması... ürkütücü bir manzara. ;korku
Bana çok korkutucu geliyor. Daha alışamadım bu fikre. Alışmak istiyor muyum o da ayrı.;korku
30 mükemmel bir yaş olabilir lakin bana çok korkutucu geliyor;korku
Yeni birine alışma ihtimali bile çok korkutucu.;korku
Instagram hesabı olup hiç fotosu olmayan hesaplar çok korkutucu değil mi yav.Takip isteği atıyorlar kabul etmiyorum;korku
Evden değişik sesler geliyo biraz korkutucu;korku
Buradaki korkunç durum şu ki azılı bir kafir dahi mizanda bu sapkın dinin islam olmadığına şehadet edecek Ne rezil bir durum düşünsenize;korku
Hakikaten insanlar korkudan mı yoksa cidden umursamadığından mi bu halde. Çok korkunç durum;korku
Bu korkunç durum son görevimizle ilgili değil. Haberimiz bile olmadan en baştan beri bu savaşın içindeydik biz..;korku
Bir ilişkide en korkunç durum bir kızın soğumasıdır kendinizden soğutmayın beyler, kaybedersiniz.;korku
İlk defa bi arkadaşım için endişelendim. gidiyorum buralardan diyip internetini kapadı..;korku
üniversitenin bizleri soktuğu o korkunç durum !! ;korku
Sanırım benim için en korkunç durum bu, kelimelerim tükendi;korku
Eleştirilen şey insanın başına gelince hissedilen o korkunç durum;korku
Sebebini söylerim ama yine linç yemekten korkuyorum siz bulun daha iyi ;korku
Sabunlanan fare çok ürkütücü değil mi?;korku
Öldün mü kaldın mı endişelendim;korku
Hocam ehliyet alabilecek miyim? Durum vahim mı hocam korkuyorum hocam;korku
İnsan saç kestirmekten korkar mı.. Korkuyorum yeminle. Ama kestirmem de lazım artık.;korku
Seni tekrar göreceğim günü beklerken ölmekten korkuyorum;korku
mecbur kalmadıkça kimseye alışmamaya çalışıyorum, alışınca kaybetmekten korkuyorum ve ben korkmaktan hoşlanmam;korku
Böcek hala odamda bırr ürktüm;korku
Sanki korku filmi izliyoruz ürktüm ya ;korku
Gizli tanığı gece rüyamda görsem korkarım ürktüm;korku
Onu görünce ben de ürktüm bir başta sonra yeni hesap yazısını gördüm.;korku
inşallah gözlerim bozulmuştur yanlış görmüşümdür resmen ürktüm;korku
Aklıma korku filmlerindeki ranza sahneleri geldi sanki biri arkamda beni izliyormuş gibi ürktüm.;korku
Temizlik şirketlerinin çoğalması endişe verici kimse evde temizlik yapmıyor mu? ;korku
Son görülme saatin endişe verici rakamlara ulaştı.;korku
Yaşarsa konuşma ihtimali çok yüksek onun icin daha endişe verici, ölürse sorun ortadan kalkar!;korku
Bütün beterin beteri vardır örneklerini kendi hayatımdan verebilmem çok endişe verici.;korku
"Fed/Evans, ""ABD'de enflasyon bekleyişlerindeki düşüş endişe verici""";korku
Seriyi Amazon'un üstlenmesinden daha endişe verici bir şey varsa, o da seriyi PJ'den başkasının eline bırakmak.;korku
çapraz masamızda oturan insanların bizle tam olarak aynı siparişi verdiği hafif korkutucu günden merhaba;korku
Şu an dışardan korkutucu sesler geliyor sanki kıyamet;korku
Dünya daha korkutucu bir hal aldıkça sanat da daha soyut hale geliyor.;korku
Gündüzün sessizliği geceden daha korkutucu benim için... ;korku
Ölüm mü bu yoksa araftamıyım özgür bu her ne ise yaşamaktan daha korkunç;korku
"Ölüm ve acı çekmek korkunç şeyler değildir; korkunç olan, bunlardan korku duymaktır.";korku
Korkunç olan ölüm değil, yaşanan ya da yaşanamayan hayatlardır;korku
Ölüm kötü insanlar için çok korkunç bir bekleyiştir. ;korku
Arkadaşlar her an birbirimizin ölüm haberini alabiliriz sizce de bu çok korkunç değil mi;korku
Sabah sabah ölüm haberiyle uyanmak... Babasız kalmanın acısı korkunç bir şey değil mi? ;korku
Çamlıca Televizyon Radyo Kulesi inşaatında korkunç ölüm! 220 metre yükseklikten aşağıya düştü;korku
Benim çok oluyor bir anda nefesim kesiliyor sanki ölüm anını yaşıyorum çok korkunç ;korku
Sevenler Ölüme bile birlikte yürürler, çünkü ölüm bile ayrılıktan daha korkunç değildir.;korku
Kendimi burada bulmaktan korkuyorum ;korku
Yalçın Çetin'le Reha Kapsal bir gün öpüşecek diye çok korkuyorum.;korku
Yine pasaport kaybetme gibi bir olay mı oldu acaba çok endişelendim;korku
Ya sen iyi kalbinden dolayı bir gün çok kötü sakatlanacaksın ondan korkuyorum;korku
Lütfen yaşlı amcalar ve aşırı kaslı erkekler beni takip etmesin korkuyorum çünkü;korku
Bir torba ilaç içtim. Yarın iş var. Dışarı çıkmaya korkuyorum. ;korku
Evlenmeyin amk sırana bana geliyor diye çok korkuyorum.;korku
Bir an çatıdan atlıyacak sandım ödüm koptu ;korku
Kabus gördüm amk ödüm koptu;korku
Risk almaktan hiç korkmadım ama sevdiklerimi üzerim diye ödüm koptu hep... ;korku
Ayakta gittiğim dolmuşta şoför emniyet kemerini takmamış, endişelendim;korku
Fernando ikinci sarıyı görecek diye ödüm koptu;korku
tam filme daldım bir anda telefonum çalmaya başladı ödüm koptu;korku
Bilgisayarım açılmıyordu kafamı klavye kısmına koyup çaresizce beklerken birden açıldı ödüm koptu lan;korku
En ürkütücü kısım dünyanın en büyük bilim adamlarından birinin eşcinsel olduğu için ölmek zorunda kalması :(;korku
"Payitaht İstanbul daha ürkütücü ama Dünya için ;)";korku
inanılmaz ürkütücü.. umarım 10.dk yalandan sakatlanır :( ;korku
Gök gürültüsü neyse de o şimşek kısmı sizce de biraz ürkütücü değil mi;korku
Küçükken radyoyu her açışımda ilaç gibi radyo diyordu ürkütücü ses hala kulaklarımda çınlıyor;korku
Göğsü öne verip direksiyona yapışmakta istemezsin inşallah endişelendim..;korku
1997 yılında bir hastalık geçirmiştim Samatya SSK'da yatmam gerekti vallahi kaçtım hastaneden yatmadan. O kadar korkunçtu ki.;korku
Hayatımda ilk defa düdüklü tencere patlamasına denk geldim. O da benim çorba yapışıma denk geldi. Korkunçtu. İyiyim.;korku
Yalnızlığın korkunçtu bahanesi. Her nefes alışında cigerine batıyor, battıkça alıştırıyor ve aynı yerden tekrar tekrar kanatıyordu. ;korku
Dudağımın iki farklı kısmında uçuk çıkmaya başlıyor, gördüğüm rüyalar o derece korkunçtu;korku
Gözlerimi hate my life diye fısıldayarak açtım BİRAZ KORKUNÇTU;korku
Hepimizin o an araba çarpsa da burda bitse dediği bir an vardır. Ben hangi cadde de öldüğümü hatırlıyorum. Korkunçtu;korku
Gözümü kapıyorum o an geliyor Allah'ım ne korkunçtu ya;korku
Dün kadıköy leş gibiydi leş önünden geçme gafletinde bulundum çok korkunçtu;korku
Üniversitenin itiraf sayfasında az önce tam olarak kendimi selfie çekiyordum cümlesini okudum. Korkunçtu.;korku
Rüya da muğlaya gitmiştim geri gelemiyodum çok korkunçtu ya;korku
Müslüman olan bir anda patlayacak diye çok korktum.;korku
gizem bana küstü zannetmiştim çok korktum allahtan küsmemiş yeniden doğmuş gibiyim;korku
istanbulda 30dk yalnız kaldım korktum köylü olduğum için;korku
Kızlar gratise ne yapmışsınız öyle korktum;korku
