Article,NewsType
"In a bid to increase the number of income tax returns, the Federal Board of Revenue (FBR) has made mandatory for all salaried persons having taxable income to file income tax returns electronically from Tax Year 2015.Through SRO 791(I)/2015 issued on Tuesday, the Income Tax Ordinance, 2001 has been amended to make it mandatory for all individuals earning taxable income to file tax return electronically for the tax year 2015, for which the last date is August 31, 2015. Tax experts strongly criticised the move. They said salaried individuals were a soft target, and by forcing salaried persons for filing returns the tax authorities were trying to achieve their desired number.Earlier, the law required a person earning Rs500,000 per year to file tax return electronically. While salaried persons under threshold for income tax payment, ie Rs400,000 were also required to file returns, but it was not mandatory through e-filing.Muhammad Zubair, President, Karachi Tax Bar Association (KTBA) said the changes made by the FBR are disappointing, as this shows they only want to increase the numbers instead of increasing the tax revenue.He said that a large segment of salaried persons fall in the slab of Rs400,000 to Rs500,000, which also includes the lower cadre of any corporate entity. In some cases even a peon of an entity will be filing tax return, he added.It is pertinent to mention here that a large number of the salaried class already files income tax returns on an annual basis. According to data obtained from a report of Tax Reform Commission, around 881,262 total returns were filed in tax year 2013, out of which salary returns were 235,117.Rehan Jafri, General Secretary, Pakistan Tax Bar Association (PTBA) criticised the FBR move and asked the authority to first enable its e-portal to handle such a huge number of filings.He said that the last date of filing the income tax return is August 31 and so far the return forms have not been issued by the FBR. It will create difficulties for taxpayers to file in a short span of time, he said, adding the FBR should have issued the form on July 1 allowing at least two months for filing preparation.The FBRs new online software for filing income tax returns IRIS (Integrated Risk Information System) was criticised last year for deficiencies. Tax experts believe that without addressing the issues it will be another failure for FBR.Shahid Hussain Asad, Member Inland Revenue (Policy) and official spokesman said the measure had been taken to ensure electronic availability of taxpayers data.As per tax laws all the individuals are also required to file a wealth statement along with their return.",business
"Oil prices extended losses in Asia on Wednesday as dealers worried about Chinas economy following its surprise currency devaluation, while oversupply concerns also added to downward pressure, analysts said.US benchmark West Texas Intermediate (WTI) for September delivery fell five cents to $43.03 while Brent crude for September slipped 35 cents to $48.83 in late-morning trade.WTI on Tuesday sank to its lowest level since March 2009, while Brent also fell in London, after Chinas central bank moved to devalue its currency by nearly two percent against the US dollar.The Peoples Bank of China again lowered the daily fix that sets the value of the Chinese currency against the greenback on Wednesday by 1.62 percent, sending a new shockwave through financial markets.""The Chinese yuan continues to weaken for the second day, which could suggest further weakening of oil prices,"" said Daniel Ang, an investment analyst at Phillip Futures in Singapore.Investors fear Beijings move signalled concerns over growth in the worlds second-largest economy and top energy consumer, which came after data published over the weekend showed a slump in Chinese trade.It also pushed up the greenback, which strengthened further against Asian currencies on Wednesday, which hurts dollar-denominated commodity prices by making them more expensive for international buyers.Ang said prices were also under pressure after the Organization of the Petroleum Exporting Countries (OPEC) said output in July rose by 100,700 barrels per day from the previous month to 31.5 million barrels per day.""An increase in OPEC production is certainly not ideal for the oversupplied market at this point in time,"" Ang said.The producer cartels refusal to cut its output level despite sagging demand is seen as a reason for a prolonged global oversupply, which has seen prices fall to almost a third of their mid-2014 peak.Analysts have said the move is an attempt by the cartels kingpin Saudi Arabia to defend its market share as it fends off competition from US shale oil.Dealers will next focus on US crude stockpiles data to be released on Wednesday for clues on demand in the worlds top crude consumer, Ang said.",business
"Asian shares were mixed Thursday, as an afternoon rally on Wall Street gave investors room to breathe after concerns about Chinas economy jolted global financial markets.The dollar inched higher, after taking a knock in New York from speculation the US Federal Reserve will delay hiking interest rates following Chinas devaluation of the yuan.Tokyo opened flat, easing 0.23 points, Sydney added 0.57 percent and Seoul dipped 0.1 percent after the South Korean central bank left its key rate at a record low.Hong Kong added 0.60 percent and Shanghai rose 0.19 percent in early deals.China cut the rate of the yuan against the dollar for the third consecutive day Thursday, reducing the reference rate by 1.1 percent from the previous session.The reduction comes after two previous cuts, on Tuesday and Wednesday, sparked concerns that Chinas economy, long an engine for world growth, is weaker than previously thought.The move fanned fears the Chinese currency could be set for a prolonged depreciation and send shockwaves reverberating through global financial markets.Commodities along with stocks in Europe and Asia fell, safe-havens gold and bonds rose and currencies in Asia-Pacific suffered their worst two-day selloff since 1998.But an afternoon comeback on Wall Street, led by Apple and energy stocks, and news Chinas central bank had intervened to stop the yuan tanking on Wednesday cheered dealers.The intervention ""is a hopeful sign that the authorities are not shooting for a maxi-devaluation,"" Tim Condon, head of Asian research at ING in Singapore, told Bloomberg News.In Tokyo forex trade, the dollar fetched 124.30 yen early Thursday against 124.24 yen in New York late Wednesday.The euro exchanged hands at $1.1156 and 138.67 yen compared with $1.1159 and 138.63 yen in US trade.Oil prices were mixed on Thursday after edging up from a six-year low in New York on news US oil supplies declined and the dollar retreated.US benchmark West Texas Intermediate for delivery in September fell three cents to $43.27 and Brent crude for September rose five cents to $49.71 in morning Asian trade.Safe-haven gold fetched $1,121.23 compared to $1,117.50 late Wednesday.In individual shares, Australias Telstra fell two percent to Aus$6.12 after the telecoms company said annual net profit fell one percent Aus$4.23 billion after the sale of Hong Kong mobile business CSL.Chinese Internet giant Alibaba closed more than five percent lower in New York at $73.38 after a disappointing quarterly report showed sales growth cooling.",business
"CNG stations in Sindh will remain closed for three days per week, a spokesman for the Sui Southern Gas Company (SSGC) said. According to the spokesman the CNG stations will remain closed on Monday, Wednesday and Friday. The stations will be shut from 8:00AM in the morning on the above mentioned days for 24 hours.",business
"Oil prices resumed their decline in Asia Monday as a global glut of crude supplies showed no signs of abating in the face of sluggish demand, analysts said.US benchmark West Texas Intermediate (WTI) for September delivery fell 63 cents to $41.87 a barrel in late-morning trade, the lowest since March 2009. Brent crude for October, a new contract, was down 65 cents to $48.54.WTI and Brents September contract rose in New York on Friday after closing at their lowest level in six and a half years in the prior session.But oil came under renewed pressure in Asia after the latest data showing the number of rigs drilling for US oil increased last week, the sixth rise in seven weeks, analysts said.The news added to fears of a prolonged global surplus as output from the Organization of the Petroleum Exporting Countries and the United States remains robust despite the tumbling prices.""The combination of elevated stockpiles in the US and increasing production from OPEC, sluggish demand growth, and a stronger US (dollar) would continue to pressure oil prices,"" said Bernard Aw, market strategist at IG Markets in Singapore.The dollar strengthened in Asia on Monday after solid data boosted expectations of an imminent US rate rise, after Chinas shock devaluation of the yuan last week hurt Asia-Pacific currencies.As oil is traded in the US currency, a strong dollar makes it more expensive for international investors, dampening demand.""The devaluation of the yuan by China led to the weakening of other emerging market currencies,"" said Sanjeev Gupta, who heads the Asia-Pacific oil and gas practice at professional services firm EY.""This spells negative news for crude as a strong US dollar makes crude expensive for importing countries, thereby curtailing demand.""Gupta said traders will be watching Chinese home prices data due for release Tuesday for further clues on the health of the worlds second-largest economy.Traders will also comb through the minutes of the US central banks meeting in late July, due for release Wednesday, for signs on when the Fed will raise interest rates.""We continue to expect further short-term downside in WTI crude over the next few months,"" the Australia and New Zealand Banking Group (ANZ) said in a market commentary.",business
"BuzzFeed, the website which lives off viral and ""shareable"" news, got a major boost for expansion plans Tuesday with a $200 million investment from NBCUniversal.The deal with NBCU, a division of the media and cable conglomerate Comcast, calls for ""strategic partnerships"" between the two groups, which could allow sharing of content between BuzzFeed and the vast NBC television operations.The deal values the ""social news"" pioneer at some $1.5 billion, according to several media reports. The companies did not comment on the valuation terms of the investment.""Its a fascinating time for the media industry; social, mobile, digital, and broadcast platforms are converging to create new opportunities to connect with global audiences,"" said Jonah Peretti, BuzzFeeds founder and chief executive.The news comes just a week after NBCUniversal announced a similar $200 million injection into another digital news group, Vox Media, and highlights the potential seen in online news as consumers move away from traditional media.""BuzzFeed has built an exceptional global company that harmonizes technology, data and superior editorial abilities to create and share content in innovative ways,"" said Steve Burke, CEO at NBCUniversal.""They reach a massive, loyal audience and have proven to be among the most creative, popular and influential new media players. We are pleased to be making this investment and for our companies to partner and work together.""The investment follows Mondays announcement that BuzzFeed would launch a Japanese news website in a partnership with Yahoo Japan, the latest step in a global expansion push.BuzzFeed is one of the largest pure-play digital websites, claiming to reach some 200 million users worldwide.With its recent expansion, the group says some 45 percent of traffic now comes from outside the United States, having launched editions in Britain, Brazil, France, Australia, India, Germany, Mexico and Canada.BuzzFeed, founded in 2006 by Huffington Post co-founder Peretti, was known for offbeat ""shareable"" news but has been investing in new staff and technology as it expands globally.NBCU was created as a joint venture with the NBC broadcast group and Universal Pictures, previously controlled by Frances Vivendi. Comcast took full control of NBCU in 2013.- Profiting from sharing -While BuzzFeeds finances are not made public, documents leaked last week by the website Gawker suggested it is making a profit -- some $2.7 million in the first six months of 2014 and $7 million in 2013.Rebecca Lieb, an independent media consultant and analyst, said BuzzFeed ""has successfully captured mass eyeballs, which is difficult in an era of highly specialised and topical information.""BuzzFeed ""is good at picking topics which are light and entertaining and shareable,"" Lieb told AFP.Additionally, she said BuzzFeed has successfully reached younger audiences who often dont read newspapers or subscribe to cable television, and that this group is attractive to advertisers.BuzzFeed also has been able to optimise its content by using algorithms that show which stories are viewed and shared most often, and prioritising these items, Lieb said.She added that the website is strong in ""native"" advertising, which includes ""sponsored"" and similar content.The tie-up with NBCU offers potential, Lieb said, such as snippets of Olympic videos which could be offered to BuzzFeed and drive consumers to watch more on television.Kenneth Lerer, BuzzFeeds executive chairman, said in a statement that the tie-up could mean ""collaborating on television content, movies, the Olympics, and joint partnerships with ad agencies and brands.""Last year, BuzzFeed said it had secured $50 million in a deal that reportedly valued it at $850 million. But the latest injection vaults it into the club of ""unicorns,"" a term used for startups valued at over $1 billion.Vox is believed to be worth over $1 billion following its recent cash infusion from NBCU. And Vice Media last year secured some $500 million which boosted its valuation to a reported $2.5 billion.One of the largest digital-only news groups is the Huffington Post, whose future is uncertain after its parent company AOL was sold this year to telecom giant Verizon.",business
"Oil prices fell in Asia Wednesday, giving up meagre gains in the previous session as investors await a US inventory report to gauge demand in the worlds top economy.US benchmark West Texas Intermediate for September delivery fell 17 cents to $42.45 a barrel and Brent crude for October dipped 23 cents to $48.58 a barrel in late-morning Asian trade.Both contracts eked out modest rebounds in closing deals in New York on Tuesday.But analysts said prices were unlikely to stage a sustained rally because the market remains awash with supplies from the Organization of the Petroleum Exporting Countries (OPEC), led by Saudi Arabia.Oil traders are also watching a report on US crude inventories in the week ending August 14 due later Wednesday to measure demand in the worlds biggest economy and large producer of shale oil.Analysts expect inventories to decline, but also said stockpile levels remain high after a weaker-than-hoped rise in demand during the summer driving season.""Output in the US has turned out to be more robust than many had previously assumed, as shale firms have dramatically slashed costs and increased their efficiency rather than cutting production,"" said Thomas Pugh, commodities economist at research firm Capital Economics.Demand growth is not keeping pace with supply, especially with the slowdown in China, the worlds top energy consuming nation and its second-biggest economy.Iran last month also reached an agreement with major world powers to rein in its nuclear ambitions in exchange for the lifting of crippling Western economic sanctions which have restricted its oil exports.""This renewed decline in oil prices has largely been driven by a combination of concerns about demand, notably from China, and continued strong growth in supply,"" said Pugh.""OPEC has increased its output by almost 1.4 million barrels per day since January and the potential return of exports from Iran early next year could exacerbate the supply glut,"" he said.",business
"Global oil prices hit a new six and a half year low Thursday, nearing the key $40 a barrel level as a surprise rise in US stocks fuelled supply glut fears.US benchmark West Texas Intermediate for September delivery sank to $40.21 per barrel, the lowest level since March 2009. It later stood at $40.30, down 50 cents from Wednesdays close.Brent North Sea crude for October delivery meanwhile slid to $46.31 a barrel, a point last seen in mid-January and not far off a six-year nadir. The contract later stood at $46.40, down 76 cents.""US stockpiles unexpectedly expanded when the market was looking at a contraction, which heightened the global oversupply concerns,"" said Bernard Aw, a market strategist at IG Markets.""This added pressure to crude prices, and we see WTI drop below $41, heading towards the key $40 level. We could see more downsides, given that the current conditions remain unfavourable to oil.""The US Department of Energy on Wednesday said oil stockpiles rose 2.6 million barrels in the week ending August 14, and reported a 300,000 barrel rise at the closely watched Cushing, Oklahoma trading hub.The surprise jump in inventories at a time when they normally fall added to concerns of a global surplus, particularly as signs emerge that demand is faltering in top energy importer China.US banking giant Citigroup said WTI could fall to $32 a barrel, a level not seen since the throes of the financial crisis, pressured by excess supplies.""Oil balances point to further oversupply throughout 2015 begging the question how low can oil go,"" it said in a market commentary, adding that hitting the 2008 low of $32.40 a barrel ""is a conceivable reality.""But Daniel Ang, an investment analyst with Phillip Futures in Singapore, said he expects WTI to be supported at $40 a barrel in Thursdays trading session.""Technically, we are still seeing a very bearish momentum, however for prices to break below $40 is going to be an arduous task,"" he said.""We see $40 for WTI to be a strong psychological support.""",business
"The Federal Board of Revenue (FBR) has initiated a drive to identify income sources of luxurious vehicles owners to ensure their tax return filings, confiscating vehicles on non-compliance, official sources said on Thursday.The sources said tax officials are obtaining data of registered motor vehicles above 1,000cc to determine the sources of income of their owners to increase filings of tax returns.They told The News that Inland Revenue asked local car assemblers and customs authorities to share the last five-year data of purchased vehicles with the tax department.We are comparing this with the data provided by the provincial motor vehicle registration authorities, said a source.The sources said the FBR has started issuing notices to the owners of vehicles and around 422 vehicles have been seized on non-compliance.Motor vehicle registration authorities of various cities have so far shared data of 821,000 registered vehicles above 1,000 CC, while Indus Motors Co Limited, Pak Suzuki Motors Co Ltd and Honda Atlas Motors Ltd have provided the details of 73,200, 153,700 and 45,000 vehicles, respectively.The sources said the customs department will also provide the details of vehicles imported during the past five years, including those cleared under the amnesty scheme announced in 2013.They said a number of smuggled vehicles are being used, especially in rural areas.An official at Regional Tax Office (RTO) Karachi said vehicles were also cleared on fake identity for which customs authorities are responsible.The customs cleared around 51,200 vehicles under the amnesty scheme 2013 and earned the FBR Rs16.2 billion as duty and taxes.The amnesty was granted on clearance and a vehicle owner is required to file income tax returns and declare source of income, said the source.However, the FBR failed to identify the real ownership due to apathy of customs department fraught with corruption and misconduct.The Federal Tax Ombudsman, in 2014, released a detailed report on irregularities in clearance of imported vehicles.Granting amnesty to smuggling is counterproductive as it promotes smuggling, emboldens smugglers and contributes to black economy, the report said.It further said luxury vehicles were mostly smuggled to cater to the upper class, adding that therefore the amnesty was more undesirable and against the national interest.Apart from the conceptual irrational and counter-productivity of amnesty for smuggled vehicles, the amnesty scheme 2013 was allegedly misused for corrupt motives by the customs staff for regularising such vehicles as had either not yet arrived in the country or these were not physically presented or actually seized by the customs, the report said.Besides, many tampered and stolen vehicles might have been granted amnesty due to weak or non-checking of tampering and absence of any filer for stolen vehicles, it said.It will be difficult to cross-match the data of imported vehicles with those registered with the provincial authorities in such as scenario, said a source in the Inland Revenue.",business
"The State Bank of Pakistan (SBP) on Friday warned exchange companies on artificial shortage of the US currency that dropped rupee further to 104 against dollar amid a frenzy in the currency market.The artificial shortage of the US currency is a major source of concern, Abid Qamar, the chief spokesperson of SBP told The News. The State Bank is strictly monitoring the exchange rate movement in the open market and instructed the exchange companies heads that they should take necessary actions.Qamar said the central bank expressed its concerns over the falling rupee value in the open market despite that the bank has allowed exchange companies to import dollars to meet the growing demand for the greenback.(The central bank) has warned the exchange companies to make all-out efforts for curbing the US currency shortage in the market, he added.Qamar said recent move in the kerb dollar rate is really a source of worry for the central bank. The rising supply-demand gap is a source of worry.The rupee hit 104 against the US currency on Friday at the open market as dollar shortages continued. It was quoted 103.50/103.70 against the greenback.The rupee also breached its support level of 101 and closed at 102.02 versus dollar in the interbank market.The rupee has depreciated 3.5 percent since August 2014. The [interest] spread on buying and selling of the dollar between interbank and open markets has widened to Rs2. The State Bank has clearly instructed that the spread should not exceed 25 paisas.Malik Bostan, President Forex Association of Pakistan said the open currency market was volatile due to rise in dollar demand from Hajj pilgrims and imposition of 0.3 percent withholding tax on banking transactions for non-filers, who are now trading in dollar to avoid the tax.Hajj flights started from August 17 and will end next month. Therefore, Bostan said people have started buying dollar and Saudi Riyal for their journey.Meanwhile, the head of the central banks foreign exchange department, in a meeting with the representatives of exchange companies, directed them to bring stability in the kerb market by ensuring smooth supply of the foreign currencies.Bostan said the SBP ordered the exchange companies, during the meeting, to use biometric verification system in foreign exchange dealings for due diligence of the customer.The SBP said it would provide foreign exchange to the exchange companies to curb the shortage, Bostan claimed.It was also suggested that companies would not sell or buy single dollar without providing the CNIC (computerised national identity card) from the customer.",business
"Suddenly the online news business is red-hot. Money is flowing into digital news ventures at an unprecedented pace, as investors anticipate an accelerating shift away from traditional media, and new ways to generate revenue from news.BuzzFeed made news this past week with a $200 million capital injection from Comcasts NBCUniversal, and with the announcement of a joint venture with Yahoo Japan for Japanese readers.Earlier this month, Vox Media also secured $200 million from NBCU as the startup seeks to ramp up its news websites including Vox.com, The Verge, Re/code and Bleacher Report.Vox and BuzzFeed joined the club of ""unicorns,"" or venture-funded startups worth at least $1 billion, a group which also includes Vice Media, which unveiled a $500 million funding round last year.The flood of capital to the sector suggests confidence in the ability of digital media to connect with readers -- especially younger audiences which eschew traditional media -- and generate profits, say analysts.""Right now its an arms race. These are companies growing quickly and they have to grow quickly,"" said Ken Doctor, a media analyst with the research firm Outsell.Doctor said a key for these organization is capturing the attention of ""millennials,"" or young adults born after 1980 who rarely subscribe to print publications or cable television, and who get most of their content online.""Marketers have discovered the millennial generation as they get more earning power,"" he told AFP.Interestingly, much of the money flowing into these organizations is coming from traditional media, seeking fresh ways to deal with a transition to digital news.The Murdoch familys 21st Century Fox is an investor in Vice Media, for example, while Time Warner has invested in the online news site Mashable.""Its as much a hedge as anything else,"" Doctor said.""Its a lot of money but not a bank-breaking amount.""Digital eats everything The analyst added that big media groups which saw troubles for print a decade ago are now waking up to digital disruption of television.With consumers slowly moving away from cable TV bundles, ""you can see the fault lines,"" Doctor said. ""Digital eats everything, and television is not immune.""The more successful media startups have found ways to connect and use technology better than legacy firms, say some analysts.""BuzzFeed and Vox and other high-profile startups make the claim they are not just content companies, they are tech companies,"" says Nikki Usher Layser, a journalism professor at George Washington University specializing in digital media.This means ""using data science to understand how information is spreading"" and being shared, she said, to better adapt news feeds and enable advertisers to reach specific segments of readers.BuzzFeed is known for using technology to help understand how news goes viral, while Mashable uses its own system for this. AOL, which owns news sites such as The Huffington Post and TechCrunch, is known for ad technology which measures effectiveness of online messages. Old, new media mergeRebecca Lieb, an independent media analyst and consultant, said she sees benefits from bringing old and new media together.Comcasts NBC can reach young audiences by sharing video from programming including the Olympic Games.""Were seeing an era of declining television viewership and increased cord cutting,"" she told AFP.""We have a large number of millennials who are never going to sign up for television packages so Im sure NBC is hoping that BuzzFeed can help drive new audiences.""For journalism, the good news is that this trend is driving investment in content, which means more hiring and in-depth reporting at a time when traditional newsroom job losses are accelerating.These large venture-funded news groups have been adding staff, along with smaller ones like Ozy, Fusion and Vocativ. Additionally, eBay founder Pierre Omidyar has pledged to invest $250 million in his online news operations, which include investigative site The Intercept.Doctor said most new media groups spend 60 to 70 percent of their budgets on news and content compared with just 12 percent for the newspaper industry.""These companies have a belief that good content and appropriate content is a business driver,"" Doctor said.Still, it remains unclear if the companies are seeing an investment bubble which gives them unjustifiably high valuations.""We have seen scant evidence of actual return of money to investors,"" Layser said. ""We have not seen a magic bullet that is going to make a clear pathway to profitability.""",business
"With stock markets in Asia tumbling including the Karachi Stock Exchange (KSE) the Pakistani rupee fell to its 17 month low against the US dollar.The dollar rose by RS2.03 in the interbank trading at Rs104 against the rupee. A spokesman for the State Bank said they were monitoring the trading of the dollar. The spokesman added that currency dealers have been told to lower the sale and purchase of dollars.",business
"Asian stocks sank deeper into crisis Monday, with Shanghai posting its largest intra-day fall since 2007 as growing concerns about Chinas slowing economy rattled equity investors worldwide. Oil prices fell further after slipping below $40 a barrel for the first time in six years, as weak Chinese manufacturing data deepened worries about the slowdown in the worlds number two economy.China-linked shares led the falls, with Shanghai losing more than 8.50 percent at one point before recovering slightly to a 7.52 percent decline in afternoon trading -- wiping out all this years gains. Hong Kong was down 4.77 percent.Tokyo closed down 4.61 percent, or 895.15 points, at a six-month low of 18,540.68. Seoul dropped 2.47 percent or 46.26 points to 1,829.81 and Sydney lost 4.09 percent, or 213.3 points, to finish at a two-year low of 5,001.3.Regional shares, as measured by the MSCI Asia Pacific Index, slumped to a two-year low Monday after suffering the worst week for three years. Taipei posted its worst ever intra-day slump of almost 7.50 percent.""Today has all the hallmarks of being one of the worst trading days of the past five years,"" said Evan Lucas at IG Markets.""The reaction from Asia today will be symptomatic of the current investor sentiment and belief that a hard landing (of Chinas economy) is inevitable.""Asias losses followed a steep fall in US and European stocks on Friday, while the price of several commodities plunged to multi-year lows and emerging market currencies took a battering. Global equities have lost more than $5 trillion in value since Chinas shock currency devaluation on August 11 sparked fears its economy is slowing more than thought. Data on Friday showing Chinese manufacturing activity slowed to a 77-month low added to the gloom, signalling that even a campaign by Beijing to stimulate growth by cutting interest rates and boosting lending is not working. Pension fund buying equitiesMore than 750 stocks listed in Shanghai fell by their maximum 10 percent daily limit on Monday, among them many of the brokerages which helped to spark a year-long rally that saw shares soar 150 percent before they collapsed in June. Chinese authorities have since launched unprecedented measures to support shares. On Sunday state media said the huge national pension fund would now be allowed to buy equities, in a fresh bid to prop up the market. The fund, which had some 3.5 trillion yuan ($550 billion) in net assets at the end of 2014, will be able to invest up to 30 percent of that in equities.But local investors fear even Beijings huge firepower will not be enough to stop the rout in Chinese shares, particularly after Shanghai shares fell through the key 3,500 point mark.""This is a real disaster and it seems nothing can stop it,"" Chen Gang, Shanghai-based chief investment officer at Heqitongyi Asset Management Co., told Bloomberg News.""If we dont cut holdings ourselves, the fund (managed by his firm) faces risk of forced closure. Many newly started private funds suffered that recently. I hope we can survive.""Oil prices also fell, after breaking below the $40 barrel for the first time in six years Friday on concerns about waning demand in China, the worlds top energy importer.Data showing the number of US drilling rigs rose last week, despite the slump in prices, added to concerns a global supply glut will last for years.US benchmark West Texas Intermediate for October delivery fell $1.28 to $39.58 while Brent crude for October eased $1.45 to $44.65.Jitters over China and the global economy saw traders drop the dollar and move into the yen -- a safe haven in times of turmoil and uncertainty -- while the currencies of Malaysia, Thailand and South Korea all hit fresh multi-year lows.The greenback fell to 121.23 yen in Asia Monday, down from 122.06 yen in New York Friday. The euro was at $1.1425 and 138.51 yen, from $1.1386 and 138.97 yen.Gold traded at $1,153.24 compared to $1,154.45 late Friday.In other markets:-- Taipei closed down 4.84 percent, or 376.58 points, at 7,410.34 after posting their biggest ever intra-day decline of 7.49 percent.Taiwan Semiconductor Manufacturing Co lost 4.96 percent to Tw$115.0 while Hon Hai Precision closed 4.56 percent lower at Tw$81.6.-- Wellington dropped 2.50 percent or 143.87 points to an eight-month low of 5,607.32.Heavyweight Fletcher Building was among the biggest losers, down 3.98 percent at NZ$7.23, while Air New Zealand slipped 0.93 percent to NZ$2.67.",business
"Following Asian stock market trend, Karachi Stock Exchange (KSE) shed over 1,419 points at the closing of Monday's trading.With over 1,400 points down, the KSE-100 index was recorded at 33,100.The KSE witnessed a three month low and market capitalisation suffered a loss of almost Rs270 billion. Out of 100 companies, 81 have hit 5 per cent lower lock. Biggest markets of Asia including Hong Kong, China and Japan also plummeted on Monday.The fall in the Asian markets will likely to hit world stocks.",business
"Crude prices dived in Asia on Monday, with US oil hovering below the key $40 a barrel mark amid deepening concerns about weak Chinese economic growth and global oversupply, analysts said.US benchmark West Texas Intermediate (WTI) for October delivery fell $1.04 to $39.41 while Brent crude for October eased 91 cents to $44.55 in late-morning trade.WTI extended losses after briefly dipping to $39.86 on Friday in New York -- breaking $40 for the first time in six years -- after data showed an increase in US oil rigs despite ample global supplies.""Soft manufacturing data from China and continued increase in weekly rig count led to the sharp sell-off"" in oil prices, said Sanjeev Gupta, head of the Asia-Pacific oil and gas practice at consultancy EY.The Baker Hughes US oil rig count showed producers in the worlds top crude consumer added two more rigs in the week to August 21, the same number as the previous week, bringing the overall tally of active drilling oil rigs to 674.A much weaker-than-expected manufacturing report on Friday also added to concerns energy demand is also waning in China.The Caixins Purchasing Managers Index came in at 47.1 this month, falling from 47.8 in July and its worst reading since March 2009. A reading below 50 signifies contraction in activity.The poor data fuelled concerns about the worlds second-largest economy and top energy importer -- already heightened by Beijings unexpected devaluation of the yuan two weeks ago -- at a time when high production levels and weak demand growth are weighing on prices.Oil dealers will next be scrutinising preliminary US second-quarter GDP data to be released on Thursday, analysts said.The data could be key to the Federal Reserves timeline for raising interest rates, with predictions for a September raise fading in the face of global growth jitters.Interest rate adjustments are closely watched by crude investors as an increase usually leads to a pick-up in the dollar. A stronger greenback makes dollar-priced oil more expensive for buyers using weaker currencies, denting demand.",business
"The State Bank of Pakistan (SBP) said on Tuesday that it is cognisant of the global developments related to markets and is keenly observing its impact on the domestic economy as well. SBP believes that Pak Rupee will remain stable going forward and may even strengthen depending on the relative movement of international currencies, said an SBP statement today.On Monday (August 24), financial markets across the globe witnessed turbulence and the panic was most visible in the stock markets. Earlier, the foreign exchange markets also had their share in this global turmoil. Since the start of devaluation of Chinese Yuan on August 11, currency depreciation around the globe particularly in the developing countries has accelerated. Many of these countries have allowed their currencies to depreciate primarily to maintain their trade competitiveness against China. Pakistan is also a part of the global economies and cannot remain immune to the developments around the globe. This fact raised expectations about a possible impact on the domestic economy and a downward movement of the exchange rate. As a result on August 24, 2015 Pak Rupee depreciated against the US Dollar to close at Rs 104.50. This translates into a single day movement of the currency by 2.4 percent and a cumulative depreciation of 2.6% percent since the beginning of this fiscal year. It is important to realise that this positioning is driven by international currency movements and not due to any weakness in the domestic economy. The macroeconomic stability achieved through sustained improvements in economic fundamentals is very much intact and these recent developments do not pose any serious challenge to it.Our external sector is robust and reserves are at historically high level.The statement added that, Nevertheless it is keenly watching the international economic developments and its impact on our domestic economy. It is also watching the rent seekers who tend to take advantage of such situations and cause damage to the economy by their speculative activities. SBP stands ready to take any measure to ensure stability in the markets and will deal with such unscrupulous elements with strong measures.",business
"The Asian Development Bank said Tuesday it has approved a new assistance programme for Pakistan worth $1.2 billion annually, to improve infrastructure and create jobs. The Manila-based bank said Pakistan, which has suffered sluggish growth in recent years, was on track to meet targets for cutting poverty. But it said overall development was below potential and further institutional reforms were needed. Tax collection in Pakistan is tiny, severely hampering the governments ability to manage its finances. A chronic crisis in the power sector -- made worse by poorly targeted subsidies -- is also a major brake on growth. ""The main challenge in Pakistan was to deliver higher, sustained and inclusive growth to cut poverty and create productive jobs for the growing labour force,"" ADB Pakistan country director Werner Liepach said in a statement. The new programme, which runs until 2019, will target six sectors including energy, transport and public sector management, the ADB said. The funds will support improvements to highways and provincial roads, as well as to power generation and transmission and bus rapid transit schemes in Karachi and other cities.",business
